model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,da_rank,no_rank,sv_rank,is_rank,fo_rank,de_rank,nl_rank,en_rank,dansk,angry_tweets,scala_da,scandiqa_da,norne_nb,norne_nn,norec,scala_nb,scala_nn,norquad,suc3,swerec,scala_sv,scandiqa_sv,mim_gold_ner,hotter_and_colder_sentiment,scala_is,nqii,fone,fosent,scala_fo,foqa,germeval,sb10k,scala_de,germanquad,conll_nl,dutch_social,scala_nl,squad_nl,conll_en,sst5,scala_en,squad
meta-llama/Llama-2-7b-chat-hf (few-shot),6738,32,4096,False,False,2643,2.93,2.6,3.07,2.55,3.65,3.78,2.62,3.03,2.14,35.44,44.88,9.74,55.04,44.99,49.09,41.56,3.04,4.03,33.77,39.72,66.18,6.74,54.05,41.1,13.59,-1.07,16.13,59.77,13.24,-0.54,31.87,50.09,46.52,15.23,25.54,50.23,10.07,14.73,53.42,62.53,62.23,22.71,64.45
sentence-transformers/quora-distilbert-multilingual,135,120,512,True,False,26458,3.08,3.07,3.08,2.66,3.36,3.78,3.11,2.68,2.89,54.48,36.6,8.84,13.97,77.81,72.22,44.59,8.98,5.72,0.0,65.5,68.36,14.81,16.11,63.36,33.1,1.02,6.48,82.91,9.77,1.67,0.0,64.12,49.66,0.58,0.05,67.89,23.25,21.36,4.5,81.71,50.69,2.16,4.19
MaLA-LM/emma-500-llama2-7b (few-shot),6738,32,4096,True,False,6275,3.12,3.0,3.15,2.46,3.59,3.73,3.29,3.34,2.38,28.18,29.32,2.9,56.48,36.96,39.38,32.67,2.18,5.33,45.23,41.49,75.64,0.66,57.48,31.81,19.61,3.63,16.72,40.18,14.19,0.31,41.6,32.33,26.39,1.44,28.15,36.61,8.77,3.52,59.51,47.2,64.82,7.57,73.88
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3374,49,4096,True,False,10246,3.12,3.01,3.23,2.61,4.11,4.19,2.55,3.07,2.23,37.37,31.44,5.27,48.41,44.89,48.08,32.29,7.49,4.65,26.37,40.68,68.96,4.77,49.73,23.14,5.07,0.18,14.15,45.56,7.44,0.92,20.82,47.31,48.28,14.08,28.37,49.25,9.45,11.87,54.2,52.79,65.92,16.74,64.92
ibm-granite/granite-3b-code-base-2k (few-shot),3483,49,2048,True,False,2732,3.16,2.92,3.63,2.5,3.82,4.0,3.01,3.1,2.27,38.62,35.47,5.07,45.21,53.93,54.04,23.83,3.91,1.55,2.37,51.76,70.61,6.24,44.67,38.52,5.15,0.0,12.94,60.88,6.24,-0.35,18.54,49.38,41.72,7.67,13.7,50.88,12.39,3.31,48.44,60.64,61.2,7.63,69.83
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,135,120,512,True,False,33753,3.16,3.07,3.08,2.66,3.41,3.78,3.11,3.25,2.89,54.48,36.6,8.84,15.42,77.81,72.22,44.59,8.98,5.72,0.0,65.5,68.33,14.81,16.11,59.15,33.1,0.8,6.14,82.91,9.77,1.67,0.0,63.78,49.69,0.74,0.02,65.04,17.4,-0.95,3.94,81.71,50.69,2.16,4.16
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,118,250,512,True,False,29201,3.16,2.67,2.85,2.46,3.43,3.8,3.05,4.04,2.95,56.75,44.48,26.74,17.89,78.31,72.13,47.53,26.92,14.63,0.0,66.5,72.19,28.75,15.91,62.44,31.32,1.91,3.69,82.24,6.35,2.84,0.0,60.54,54.99,0.52,0.8,59.61,0.0,-0.04,3.28,77.5,53.1,-0.35,3.13
ibm-granite/granite-3b-code-instruct-2k (few-shot),3483,49,2048,True,False,9059,3.2,3.02,3.29,2.55,4.08,4.19,2.9,3.24,2.35,37.21,31.54,6.3,44.86,53.78,55.14,26.21,3.9,2.42,24.86,50.1,65.67,4.55,42.83,33.57,0.6,0.0,11.27,56.88,3.8,-0.21,13.72,49.16,35.17,9.79,22.48,48.53,10.15,4.88,45.38,58.3,59.01,10.33,65.04
dbmdz/bert-base-historic-multilingual-cased,111,32,512,True,False,20047,3.21,3.23,3.17,2.35,3.63,3.98,2.96,3.44,2.9,47.61,24.17,8.14,25.19,68.63,67.7,25.68,6.73,3.35,22.57,68.83,64.25,28.62,28.78,56.62,24.79,-1.21,6.01,80.45,0.9,2.52,0.58,65.35,37.77,16.07,5.67,56.69,9.29,3.02,22.14,77.64,12.42,13.65,33.29
EuropeanParliament/EUBERT,94,66,512,True,False,20070,3.32,3.2,3.62,3.04,3.63,4.15,2.94,3.1,2.89,41.09,27.33,21.58,20.68,49.92,44.37,19.81,8.64,3.11,15.89,38.36,59.0,19.4,19.23,29.71,36.28,2.71,6.5,59.5,0.94,3.25,5.56,49.95,40.29,25.88,2.59,49.54,14.86,27.9,20.65,71.43,17.53,23.93,31.01
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3374,49,4096,True,False,10504,3.37,3.45,3.42,2.82,4.22,4.34,3.1,3.23,2.4,31.8,6.85,0.97,49.83,40.08,43.96,31.9,-0.07,1.27,23.32,36.01,57.18,1.52,51.04,18.07,1.67,-0.72,12.27,41.27,4.35,-0.2,19.69,40.61,31.86,5.36,25.99,42.52,9.91,0.69,56.95,49.44,66.65,12.56,63.29
utter-project/EuroLLM-1.7B-Instruct (few-shot),1657,128,4096,True,False,15009,3.45,3.15,3.42,2.8,4.26,4.57,3.19,3.49,2.75,19.61,37.92,2.81,50.05,31.43,36.92,30.63,0.98,1.67,33.24,27.41,72.24,0.13,49.77,13.29,6.83,0.92,7.49,33.53,4.25,-2.32,15.41,28.49,43.18,2.92,23.26,32.45,7.03,5.58,51.18,37.47,58.61,5.3,63.26
sentence-transformers/distiluse-base-multilingual-cased-v1,135,120,512,True,False,34042,3.46,3.39,3.57,3.13,3.65,3.88,3.51,3.21,3.31,46.78,27.78,3.04,15.52,60.76,59.62,25.98,2.65,3.47,0.2,49.86,60.06,3.18,16.08,45.47,35.18,1.14,1.63,75.63,9.82,3.65,0.0,28.29,51.7,2.12,0.03,58.67,17.82,9.27,2.17,71.33,36.75,0.24,1.3
sentence-transformers/distiluse-base-multilingual-cased,135,120,512,True,False,19206,3.46,3.75,3.49,3.09,3.62,3.77,3.33,3.42,3.21,26.96,30.13,2.01,8.25,63.79,60.96,32.83,1.09,0.18,0.0,51.67,63.04,2.32,8.93,47.62,33.35,2.64,1.27,77.16,10.41,4.09,0.0,40.2,48.71,5.53,0.06,56.98,9.66,19.37,3.11,71.9,36.22,0.47,2.44
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),1711,49,8192,True,False,15971,3.47,3.38,3.66,2.82,3.98,4.47,3.4,3.74,2.31,29.44,18.49,1.73,44.39,37.6,38.38,24.05,3.56,2.61,13.58,37.37,64.46,4.49,43.92,26.23,6.86,2.69,10.84,40.28,3.94,-0.26,10.68,32.54,27.03,8.95,18.38,31.84,1.56,5.05,40.55,47.58,66.78,20.53,58.07
sentence-transformers/distiluse-base-multilingual-cased-v2,135,120,512,True,False,33247,3.53,3.75,3.49,3.09,3.56,3.86,3.33,3.92,3.21,26.96,30.13,2.01,8.22,63.79,60.96,32.83,1.09,0.18,0.0,51.67,62.71,2.32,8.76,48.62,34.19,2.64,1.22,77.0,9.59,4.09,0.0,41.82,49.38,4.77,0.05,49.82,2.7,6.6,2.13,71.9,36.22,0.47,2.4
HuggingFaceTB/SmolLM2-1.7B (few-shot),1711,49,8192,True,False,16249,3.63,3.66,3.83,2.76,4.07,4.6,3.6,3.89,2.64,24.47,9.93,1.22,42.09,26.7,28.23,23.25,-0.47,0.26,13.4,35.96,68.31,3.61,43.26,20.5,8.08,0.83,10.84,27.91,3.16,-0.48,16.56,28.67,19.69,5.07,18.43,22.84,4.6,2.55,40.33,41.57,62.32,8.04,56.01
3ebdola/Dialectal-Arabic-XLM-R-Base,278,250,512,True,False,12783,3.79,3.79,3.89,3.48,3.59,4.28,3.73,3.89,3.71,36.51,22.07,1.63,3.09,55.55,53.53,12.69,2.79,1.66,0.0,42.78,44.95,1.43,8.71,46.95,20.94,1.4,10.48,73.34,1.49,0.97,0.0,30.18,32.66,2.1,0.46,44.46,8.39,2.07,4.3,68.25,1.92,1.08,2.79
dbmdz/bert-tiny-historic-multilingual-cased,5,32,512,True,False,78027,3.84,3.91,3.94,3.63,3.98,4.17,3.75,3.89,3.44,33.62,20.71,1.19,4.19,46.11,35.18,19.19,2.76,0.42,0.0,26.87,57.41,-1.06,5.54,43.93,9.46,0.04,6.13,72.08,-1.81,2.65,0.0,33.18,33.61,1.83,0.0,41.38,8.45,1.55,4.4,65.85,25.85,1.21,4.0
HuggingFaceTB/SmolLM2-360M (few-shot),362,49,8192,True,False,22023,4.1,4.14,4.29,4.01,4.46,4.74,4.0,4.01,3.17,12.68,3.61,1.79,28.12,26.6,23.7,6.21,-0.39,0.21,4.65,18.22,11.52,1.72,27.27,13.43,1.77,1.14,3.71,28.14,3.06,-0.06,2.43,19.94,19.64,0.0,8.78,20.95,6.84,-1.5,22.67,31.14,43.97,3.49,47.91
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),362,49,8192,True,False,21777,4.12,4.19,4.32,4.01,4.48,4.76,4.08,4.1,3.02,8.97,2.66,1.65,24.92,20.37,21.27,7.6,1.31,0.51,4.8,13.64,9.34,2.2,26.06,13.6,3.12,0.28,4.09,26.85,3.07,-0.12,1.39,18.77,12.59,1.64,9.27,15.68,6.73,0.63,19.73,30.73,59.51,1.55,49.03
fresh-xlm-roberta-base,278,250,512,True,False,2214,4.23,4.2,4.23,3.96,4.19,4.39,4.21,4.44,4.2,16.04,17.37,1.34,1.58,25.49,25.94,12.6,0.5,1.83,0.0,11.91,51.11,0.86,2.0,17.34,25.25,-0.06,1.02,48.7,1.07,2.37,0.0,8.03,23.44,-0.17,0.0,13.09,0.92,1.93,0.26,34.64,4.0,1.33,0.43
HuggingFaceTB/SmolLM2-135M (few-shot),135,49,8192,True,False,26346,4.34,4.3,4.24,4.36,4.5,4.85,4.49,4.38,3.63,13.72,3.79,-0.45,14.69,24.37,24.69,8.84,-1.2,-0.5,0.16,19.15,-3.03,0.06,14.18,14.74,2.1,-0.25,1.35,25.51,-0.56,0.46,0.15,16.89,2.74,-0.34,0.28,17.49,2.01,-0.02,0.53,31.26,26.69,1.78,13.88
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),135,49,8192,True,False,25602,4.4,4.34,4.46,4.25,4.59,4.83,4.46,4.6,3.7,12.11,2.61,0.25,14.02,20.89,19.62,2.78,-0.98,0.93,0.15,17.09,7.41,0.47,11.73,13.7,3.01,-0.83,0.94,23.22,3.78,0.41,0.54,15.54,2.51,0.36,1.77,15.82,-0.62,1.16,3.25,29.96,18.64,1.85,26.9
