model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,fone,fosent,scala_fo,foqa
utter-project/EuroLLM-9B-Instruct (few-shot),9152,128,4096,False,False,1483,3.63,54.79,35.84,0.0,41.94
CohereForAI/aya-expanse-8b (few-shot),8028,256,8192,False,False,1018,3.64,64.72,28.57,5.12,38.83
Mabeck/Heidrun-Mistral-7B-chat (few-shot),7242,32,32768,False,False,1419,3.65,63.4,26.9,2.16,40.73
intfloat/multilingual-e5-large-instruct,560,250,514,True,False,5947,3.66,88.64,23.63,2.05,24.09
mistralai/Mistral-7B-v0.1 (few-shot),7242,32,32768,True,False,1446,3.69,62.63,25.47,2.84,44.06
ibm-granite/granite-3.0-8b-instruct (few-shot),8171,49,4096,True,False,1118,3.7,59.96,28.33,2.24,39.52
intfloat/multilingual-e5-large,559,250,512,True,False,6732,3.7,88.39,18.28,2.85,31.03
mideind/IceBERT-xlmr-ic3,277,250,512,True,False,11004,3.72,87.79,7.8,22.51,11.16
ltg/norbert3-base,124,50,512,True,False,11405,3.73,86.94,8.32,12.35,24.57
mistralai/Mistral-7B-v0.3 (few-shot),7248,33,32768,True,False,1364,3.73,61.32,23.3,1.3,44.98
google/rembert,575,250,256,True,False,11736,3.75,87.35,0.04,14.65,36.1
ibm-granite/granite-8b-code-base-4k (few-shot),8055,49,4096,True,False,2313,3.75,66.82,26.68,-0.36,36.47
NbAiLab/nb-sbert-base,177,120,512,True,False,17757,3.77,86.2,19.12,11.8,7.47
meta-llama/Meta-Llama-3-8B (few-shot),8030,128,8192,True,False,1335,3.77,61.11,19.96,2.02,50.34
mhenrichsen/hestenettetLM (few-shot),7242,32,4096,True,False,1151,3.77,61.81,28.66,2.19,35.62
CohereForAI/aya-23-8B (few-shot),8028,256,8192,False,False,1121,3.79,62.22,25.58,0.01,38.7
jonfd/electra-small-nordic,22,96,128,True,False,5989,3.81,85.8,-0.16,30.88,0.0
AI-Sweden-Models/roberta-large-1160k,354,50,512,True,False,14014,3.84,88.24,6.42,1.73,35.08
ZurichNLP/unsup-simcse-xlm-roberta-base,277,250,512,True,False,34520,3.88,84.14,21.2,1.33,14.2
intfloat/multilingual-e5-base,278,250,512,True,False,14965,3.92,87.44,10.97,7.38,14.8
mideind/IceBERT-large,406,50,512,True,False,5677,3.92,86.84,2.92,9.82,21.19
Geotrend/bert-base-25lang-cased,151,85,512,True,False,13908,3.94,86.09,5.17,15.24,14.82
ibm-granite/granite-8b-code-instruct-4k (few-shot),8055,49,4096,True,False,5617,3.95,60.46,21.59,0.51,33.54
Nexusflow/Starling-LM-7B-beta (few-shot),7242,32,4096,False,False,1629,3.96,62.2,26.68,7.07,11.97
mideind/IceBERT-ic3,124,50,512,True,False,12119,3.98,87.22,15.94,6.23,2.98
vesteinn/XLMR-ENIS,125,50,512,True,False,10711,3.99,87.09,15.11,3.09,5.75
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),6738,32,4096,False,False,5384,4.0,53.38,21.25,0.46,35.99
mideind/IceBERT,124,50,512,True,False,16697,4.0,86.5,8.64,10.13,5.35
meta-llama/Llama-3.2-3B-Instruct (few-shot),3213,128,131200,False,False,10424,4.02,58.24,13.76,1.77,45.13
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),7242,32,32768,True,False,5054,4.02,58.96,15.18,0.0,39.2
FacebookAI/xlm-roberta-large,559,250,512,True,False,17897,4.04,87.85,5.14,1.17,27.72
KennethEnevoldsen/dfm-sentence-encoder-medium,124,50,512,True,False,14998,4.06,84.92,10.17,2.96,14.0
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),7242,32,32768,False,False,634,4.1,55.42,15.85,1.11,33.54
occiglot/occiglot-7b-eu5-instruct (few-shot),7242,32,32768,False,False,2088,4.11,60.37,8.21,0.0,43.69
occiglot/occiglot-7b-eu5 (few-shot),7242,32,32768,True,False,2219,4.11,58.67,13.6,0.0,40.95
clips/mfaq,277,250,512,True,False,5591,4.12,85.86,16.49,0.8,2.17
KBLab/megatron-bert-base-swedish-cased-125k,135,64,512,True,False,15763,4.13,80.61,2.87,9.6,11.57
NbAiLab/nb-roberta-base-scandinavian,125,50,512,True,False,14051,4.18,86.1,4.8,6.28,9.89
KBLab/megatron-bert-base-swedish-cased-600k,135,64,512,True,False,15726,4.19,81.02,7.39,4.0,12.98
meta-llama/Llama-2-7b-chat-hf (few-shot),6738,32,4096,False,False,2643,4.19,59.77,13.24,-0.54,31.87
mideind/IceBERT-igc,124,50,512,True,False,12551,4.19,83.82,12.12,4.93,5.17
AI-Nordics/bert-large-swedish-cased,334,31,512,True,False,7199,4.2,83.22,2.93,6.78,15.94
KBLab/megatron-bert-large-swedish-cased-165k,369,64,512,True,False,7138,4.2,82.76,1.22,7.58,16.13
mideind/IceBERT-mC4-is,163,50,512,True,False,12308,4.2,88.44,1.73,11.83,0.0
sentence-transformers/stsb-xlm-r-multilingual,277,250,512,True,False,15040,4.2,82.97,18.07,2.93,0.0
MaLA-LM/emma-500-llama2-7b (few-shot),6738,32,4096,True,False,6275,4.22,40.18,14.19,0.31,41.6
vesteinn/IceBERT,163,50,512,True,False,12360,4.23,87.13,8.64,3.66,5.07
Geotrend/bert-base-da-cased,103,23,512,True,False,15432,4.25,86.62,2.99,3.64,13.84
KBLab/megatron-bert-large-swedish-cased-110k,369,64,512,True,False,7075,4.25,82.36,6.99,5.2,2.65
senseable/WestLake-7B-v2 (few-shot),7242,32,32768,False,False,5993,4.27,67.42,20.01,7.02,0.65
KBLab/bert-base-swedish-cased-new,135,64,512,True,False,15933,4.31,84.02,0.92,5.65,7.14
sentence-transformers/distiluse-base-multilingual-cased,135,120,512,True,False,19206,4.36,77.16,10.41,4.09,0.0
sentence-transformers/paraphrase-xlm-r-multilingual-v1,278,250,512,True,False,20154,4.36,80.92,12.97,1.19,0.0
flax-community/nordic-roberta-wiki,124,50,512,True,False,16227,4.38,82.64,5.78,8.03,0.0
google-bert/bert-base-multilingual-uncased,167,106,512,True,False,13993,4.39,73.06,2.33,5.48,11.29
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,278,250,512,True,False,15100,4.4,81.7,12.82,0.25,0.0
openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot),7453,251,4096,False,False,1254,4.41,46.64,16.72,-1.54,18.69
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,135,120,512,True,False,33753,4.41,82.91,9.77,1.67,0.0
sentence-transformers/quora-distilbert-multilingual,135,120,512,True,False,26458,4.41,82.91,9.77,1.67,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,118,250,512,True,False,29201,4.42,82.24,6.35,2.84,0.0
"claude-3-5-haiku-20241022 (zero-shot, val)",-1,-1,200000,True,False,277,4.43,51.06,-3.58,4.1,45.29
patrickvonplaten/norwegian-roberta-base,124,50,512,True,False,15698,4.43,82.57,1.68,5.74,0.0
Geotrend/distilbert-base-en-no-cased,69,33,512,True,False,26597,4.44,82.05,4.4,3.98,0.97
KB/bert-base-swedish-cased,124,50,512,True,False,16181,4.44,82.76,3.46,3.98,0.0
ibm-granite/granite-3b-code-base-2k (few-shot),3483,49,2048,True,False,2732,4.44,60.88,6.24,-0.35,18.54
sentence-transformers/distiluse-base-multilingual-cased-v2,135,120,512,True,False,33247,4.44,77.0,9.59,4.09,0.0
Geotrend/distilbert-base-25lang-cased,109,85,512,True,False,26099,4.45,83.21,3.9,2.37,1.35
flax-community/swe-roberta-wiki-oscar,124,50,512,True,False,15437,4.46,80.52,2.89,6.51,0.0
sentence-transformers/distiluse-base-multilingual-cased-v1,135,120,512,True,False,34042,4.46,75.63,9.82,3.65,0.0
vesteinn/DanskBERT,124,50,512,True,False,15749,4.46,85.04,2.02,4.48,0.15
DDSC/roberta-base-danish,125,50,512,True,False,15004,4.47,80.21,2.88,1.1,7.95
cardiffnlp/twitter-xlm-roberta-base,277,250,512,True,False,34475,4.48,83.96,5.16,1.05,0.0
Twitter/twhin-bert-large,560,250,512,True,False,9707,4.5,84.73,-0.64,1.37,4.15
openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot),7453,251,4096,True,False,1438,4.5,39.78,16.03,-0.48,20.04
DeepPavlov/rubert-base-cased,177,120,512,True,False,15785,4.51,83.15,0.56,3.21,1.53
KBLab/bert-base-swedish-cased,125,50,512,True,False,16164,4.51,79.99,3.46,1.32,0.1
Twitter/twhin-bert-base,279,250,512,True,False,11514,4.52,84.0,3.05,1.94,0.02
deepset/gbert-base,109,31,512,True,False,37268,4.54,80.48,3.5,0.6,2.63
FacebookAI/roberta-base,124,50,512,True,False,13354,4.55,81.78,4.85,-1.18,0.69
microsoft/xlm-align-base,277,250,512,True,False,14744,4.55,85.97,2.54,0.02,0.72
dbmdz/bert-base-historic-multilingual-cased,110,32,512,True,False,20047,4.56,80.45,0.9,2.52,0.58
dbmdz/bert-medium-historic-multilingual-cased,42,32,512,True,False,24291,4.58,80.58,3.06,1.58,0.0
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3374,49,4096,True,False,10246,4.61,45.56,7.44,0.92,20.82
microsoft/infoxlm-base,277,250,512,True,False,34735,4.61,85.58,0.37,0.35,0.0
pdelobelle/robbert-v2-dutch-base,116,40,512,True,False,15481,4.61,78.59,3.32,0.65,0.0
DDSC/roberta-base-scandinavian,124,50,512,True,False,14491,4.62,63.86,2.04,0.73,10.57
Maltehb/aelaectra-danish-electra-small-uncased,14,32,128,True,False,5995,4.63,62.07,8.7,5.11,0.0
ltg/norbert2,125,50,512,True,False,15523,4.66,60.57,2.58,4.16,7.84
3ebdola/Dialectal-Arabic-XLM-R-Base,277,250,512,True,False,12783,4.67,73.34,1.49,0.97,0.0
KBLab/albert-base-swedish-cased-alpha,14,50,512,True,False,15925,4.67,73.8,1.09,0.81,0.0
ibm-granite/granite-3b-code-instruct-2k (few-shot),3483,49,2048,True,False,9059,4.67,56.88,3.8,-0.21,13.72
EuropeanParliament/EUBERT,94,66,512,True,False,20070,4.73,59.5,0.94,3.25,5.56
dbmdz/bert-tiny-historic-multilingual-cased,5,32,512,True,False,78027,4.74,72.08,-1.81,2.65,0.0
Maltehb/aelaectra-danish-electra-small-cased,14,32,512,True,False,4593,4.8,58.52,3.76,1.09,0.0
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3374,49,4096,True,False,10504,4.8,41.27,4.35,-0.2,19.69
sarnikowski/convbert-small-da-cased,13,29,512,True,False,14273,4.8,58.5,-0.24,5.96,0.0
sarnikowski/convbert-medium-small-da-cased,24,29,512,True,False,13821,4.85,59.66,-1.39,4.58,0.0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),1711,49,8192,True,False,15971,4.93,40.28,3.94,-0.26,10.68
fresh-xlm-roberta-base,277,250,512,True,False,2214,5.0,48.7,1.07,2.37,0.0
utter-project/EuroLLM-1.7B-Instruct (few-shot),1657,128,4096,True,False,15009,5.03,33.53,4.25,-2.32,15.41
HuggingFaceTB/SmolLM2-1.7B (few-shot),1711,49,8192,True,False,16249,5.09,27.91,3.16,-0.48,16.56
PleIAs/Pleias-1.2b-Preview (few-shot),1195,66,2048,True,False,10756,5.12,38.91,-0.86,0.65,4.82
PleIAs/Pleias-3b-Preview (few-shot),3212,66,4096,True,False,6513,5.27,22.75,1.81,0.38,7.75
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),362,49,8192,True,False,21777,5.28,26.85,3.07,-0.12,1.39
HuggingFaceTB/SmolLM2-360M (few-shot),362,49,8192,True,False,22023,5.28,28.14,3.06,-0.06,2.43
PleIAs/Pleias-350m-Preview (few-shot),353,66,2048,True,False,10242,5.28,31.99,0.22,0.67,0.29
PleIAs/Pleias-Nano (few-shot),1195,66,2048,True,False,2519,5.3,20.76,1.13,-0.53,3.58
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),135,49,8192,True,False,25602,5.31,23.22,3.78,0.41,0.54
HuggingFaceTB/SmolLM2-135M (few-shot),135,49,8192,True,False,26346,5.35,25.51,-0.56,0.46,0.15
PleIAs/Pleias-Pico (few-shot),353,66,2048,True,False,2331,5.36,22.55,0.8,1.62,0.27
ssmits/Falcon2-5.5B-multilingual (few-shot),5465,65,8192,True,False,7692,5.73,0.0,0.0,0.0,0.0
