model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,da_rank,no_rank,sv_rank,dansk,angry_tweets,scala_da,scandiqa_da,norne_nb,norne_nn,norec,scala_nb,scala_nn,norquad,suc3,swerec,scala_sv,scandiqa_sv
birgermoell/Rapid-Cycling (val),7242,32,32768,False,True,2346,2.24,2.08,2.73,1.91,49.99,51.25,20.66,56.82,55.93,63.85,50.41,15.74,2.23,39.81,53.66,77.72,16.22,59.75
timpal0l/BeagleCatMunin2 (val),7242,32,32768,False,True,2477,2.24,2.2,2.48,2.05,51.53,47.95,14.1,58.28,61.17,65.44,58.69,15.03,5.95,42.42,60.87,73.72,6.78,58.75
Geotrend/bert-base-25lang-cased,151,85,512,True,False,13908,2.25,2.41,2.31,2.02,62.53,32.88,29.01,39.51,87.99,83.1,36.21,46.43,39.82,40.01,75.62,62.5,38.18,40.96
KBLab/bert-base-swedish-cased,125,50,512,True,False,16164,2.25,2.57,2.76,1.43,61.74,33.31,33.35,28.67,85.33,79.44,38.17,39.49,22.17,19.04,81.23,75.73,78.6,38.56
KBLab/megatron-bert-base-swedish-cased-600k,135,64,512,True,False,15726,2.25,2.58,2.66,1.51,57.97,39.4,23.5,31.87,82.2,76.64,40.2,24.45,19.18,30.69,78.91,76.09,70.08,41.14
birgermoell/BeagleCatMunin-Flashback-Bellman (val),7242,32,32768,False,True,2890,2.25,2.05,2.66,2.03,50.4,52.3,21.3,58.17,53.96,63.45,52.7,14.87,2.48,41.43,52.96,76.99,14.27,59.92
birgermoell/Flashback-Bellman (val),7242,32,32768,False,True,2887,2.25,2.13,2.68,1.93,47.71,48.21,19.55,56.46,56.44,66.56,53.24,11.96,2.5,39.21,55.29,78.29,18.45,58.42
Geotrend/bert-base-en-no-cased,111,33,512,True,False,14081,2.26,2.29,2.41,2.08,62.66,33.91,40.96,39.93,89.07,82.69,34.97,39.58,31.27,41.89,75.33,61.8,36.62,39.95
google-bert/bert-base-multilingual-cased,178,120,512,True,False,14083,2.26,2.46,2.36,1.97,63.17,32.38,27.93,39.57,88.72,83.08,35.87,44.22,39.55,40.55,76.29,61.78,47.74,41.17
mlabonne/NeuralBeagle14-7B (val),7242,32,8192,False,True,2549,2.26,2.14,2.64,2.01,53.02,51.29,19.73,51.69,62.47,66.69,54.04,16.75,13.0,34.48,61.25,76.03,16.28,50.96
microsoft/xlm-align-base,278,250,512,True,False,14744,2.28,2.39,2.26,2.2,70.36,47.83,11.87,29.87,90.07,85.65,54.46,12.16,8.99,49.24,78.6,73.67,15.41,32.41
facebook/xlm-v-base,778,902,512,True,False,13135,2.29,2.21,2.77,1.9,71.42,31.86,52.95,34.66,89.99,78.6,17.93,43.46,10.97,43.74,68.39,73.43,45.09,38.04
merge-crew/da-sv-ties (val),7242,32,32768,True,True,2457,2.29,2.18,2.67,2.02,45.39,51.95,13.25,58.51,47.61,60.57,44.46,23.99,11.6,47.02,48.36,76.57,20.94,59.07
birgermoell/Munin-NeuralBeagle-NorskGPT (val),7242,32,32768,False,True,2903,2.3,2.4,2.42,2.07,51.85,44.02,1.22,57.69,63.33,68.84,58.28,18.65,10.72,44.39,63.85,73.72,-0.56,60.1
birgermoell/WestLake-Munin-Cat-NorskGPT (val),7242,32,32768,False,True,2856,2.3,2.4,2.42,2.07,51.85,44.02,1.22,57.69,63.33,68.84,58.28,18.65,10.72,44.39,63.85,73.72,-0.56,60.1
merge-crew/da-sv-dare-ties-density-0.6 (val),7242,32,32768,True,True,2515,2.3,2.24,2.64,2.03,46.03,49.59,12.72,57.03,47.26,59.35,54.93,9.0,5.26,45.95,45.12,78.74,19.74,60.15
timpal0l/njord-alpha,7242,32,32768,True,False,5419,2.3,2.28,2.7,1.93,34.79,48.15,20.75,57.11,45.12,44.13,48.14,26.57,14.13,48.06,42.76,79.56,33.9,57.59
AI-Sweden-Models/tyr (val),7242,32,32768,False,True,6079,2.32,2.23,2.75,1.97,47.01,50.6,13.73,56.35,58.6,63.15,51.85,0.66,0.53,43.22,56.21,78.3,14.35,61.08
Geotrend/bert-base-en-da-cased,111,33,512,True,False,14062,2.32,2.39,2.48,2.08,62.57,33.67,35.79,38.77,88.55,83.09,35.16,31.82,32.94,39.46,74.88,61.89,40.22,39.95
KennethEnevoldsen/munin_mistral-7b (val),7242,32,32768,False,True,2543,2.32,2.29,2.61,2.07,46.7,47.52,8.04,60.05,51.82,62.55,56.37,6.04,-0.02,48.85,52.34,77.66,6.0,60.16
RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (val),7242,32,32768,False,True,3008,2.32,2.21,2.76,2.0,50.83,43.41,19.72,57.87,53.68,61.92,47.78,0.91,1.24,47.76,59.36,72.04,22.38,57.96
jonfd/electra-small-nordic,22,96,128,True,False,5989,2.33,2.49,2.34,2.15,65.4,34.43,67.27,6.6,84.95,79.57,40.15,72.87,63.77,14.16,71.07,66.42,69.19,11.85
timpal0l/Mistral-7B-v0.1-flashback-v2,7242,32,32768,True,False,5054,2.33,2.28,2.77,1.93,42.43,47.82,16.51,56.95,48.97,51.52,49.05,14.37,9.96,44.07,44.14,80.14,34.23,57.07
NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2,-1,32,32768,False,False,5954,2.35,2.36,2.5,2.2,47.39,48.01,4.72,60.06,58.18,58.07,53.38,18.52,12.5,46.52,50.12,77.16,1.08,59.7
Geotrend/bert-base-da-cased,104,23,512,True,False,15432,2.38,2.46,2.54,2.13,62.76,32.06,30.95,37.79,87.52,82.66,32.73,36.41,30.37,37.71,74.13,62.18,36.93,37.59
alpindale/Mistral-7B-v0.2-hf,7242,32,32768,True,False,1841,2.39,2.29,2.82,2.07,43.65,45.86,15.19,59.14,50.63,52.69,44.05,11.6,9.26,45.23,48.96,78.9,10.82,58.91
bineric/NorskGPT-Mistral-7b,7242,32,32768,False,False,2443,2.39,2.54,2.47,2.17,50.76,40.41,0.0,57.26,63.28,61.25,56.9,13.86,10.17,49.03,58.4,74.3,0.0,59.16
danish-foundation-models/munin-7b-v0.1dev0,7242,32,8192,True,False,6113,2.39,2.43,2.71,2.04,39.12,36.47,26.76,58.75,50.43,54.2,39.21,20.51,11.66,51.57,47.1,73.05,30.29,57.39
mistralai/Mistral-7B-v0.1,7242,32,32768,True,False,2657,2.39,2.36,2.74,2.08,45.42,43.16,8.79,59.43,52.0,55.12,47.25,8.66,6.8,46.86,53.34,80.0,4.61,58.99
ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit,7242,32,32768,False,False,3006,2.4,2.34,2.79,2.07,45.37,39.63,21.77,58.28,51.99,52.74,50.39,0.99,1.27,47.95,44.64,77.98,16.57,57.31
mhenrichsen/hestenettetLM,7242,32,32768,True,False,5160,2.4,2.4,2.7,2.11,44.9,42.61,8.65,59.62,52.52,55.6,48.23,8.53,6.65,46.89,53.0,79.7,4.32,59.03
microsoft/infoxlm-base,278,250,512,True,False,14918,2.4,2.48,2.45,2.26,69.78,46.78,11.27,28.28,90.14,84.12,44.42,11.2,7.12,47.69,79.43,71.48,7.26,33.72
Mabeck/Heidrun-Mistral-7B-base,7242,32,32768,True,False,3823,2.41,2.42,2.8,2.0,40.14,39.38,21.85,58.07,50.1,54.81,48.64,10.31,1.11,42.2,48.43,79.43,17.37,57.05
KBLab/megatron-bert-base-swedish-cased-125k,135,64,512,True,False,15763,2.43,2.77,2.95,1.56,53.93,36.31,23.46,27.85,77.98,75.0,33.88,24.23,18.18,20.56,79.29,75.85,70.43,37.56
mlabonne/AlphaMonarch-7B (val),7242,32,8192,False,True,5340,2.45,2.29,2.73,2.32,52.72,49.11,16.09,46.28,61.9,66.92,48.8,19.53,9.83,30.27,60.53,67.03,15.1,42.46
clips/mfaq,278,250,128,True,False,5591,2.46,2.48,2.62,2.29,68.49,45.6,28.26,14.34,89.46,79.71,52.91,27.55,15.2,12.36,76.31,73.32,32.29,16.12
jhu-clsp/bernice,278,250,512,True,False,5567,2.48,2.47,2.77,2.2,61.98,47.2,40.52,13.53,84.11,77.82,39.63,45.75,33.74,5.35,71.34,70.91,53.52,16.41
birgermoell/NeuralBeagle-Flashback (val),7242,32,32768,False,True,2904,2.5,2.21,2.7,2.59,48.28,44.2,22.79,57.96,51.78,61.22,53.06,10.27,8.06,40.64,51.73,36.06,19.42,59.26
flax-community/nordic-roberta-wiki,125,50,512,True,False,16227,2.5,2.48,2.92,2.09,60.82,34.45,41.89,26.83,85.42,78.92,36.27,48.07,29.81,0.44,72.9,61.11,55.05,29.04
DDSC/roberta-base-scandinavian,125,50,512,True,False,14491,2.51,2.57,2.73,2.23,43.9,44.48,30.37,28.89,71.73,79.8,46.74,8.02,17.04,29.26,58.84,72.28,37.61,30.59
sentence-transformers/paraphrase-xlm-r-multilingual-v1,278,250,512,True,False,14994,2.51,2.4,2.83,2.3,61.17,46.39,38.61,19.9,81.26,74.05,49.93,38.26,25.17,0.0,70.22,71.33,39.6,18.65
KBLab/bert-base-swedish-cased-new,135,64,512,True,False,15933,2.52,2.93,3.02,1.61,59.37,38.46,4.61,23.13,83.23,79.16,33.94,9.56,4.16,22.84,79.99,76.04,73.52,30.6
RuterNorway/Llama-2-13b-chat-norwegian,-1,32,4096,False,False,7778,2.52,2.45,2.94,2.18,43.17,43.4,11.08,56.81,58.61,60.4,41.36,6.52,3.95,38.93,50.85,74.17,7.51,57.32
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,278,250,512,True,False,15100,2.52,2.42,2.8,2.33,61.18,49.13,29.66,19.99,81.94,75.56,55.53,36.01,14.99,0.0,65.14,73.47,36.62,18.65
mistralai/Mistral-7B-Instruct-v0.2,7242,32,32768,False,False,2538,2.53,2.32,2.94,2.34,44.89,48.09,19.06,51.56,53.42,54.34,38.79,17.06,11.0,35.74,47.92,62.9,19.95,52.51
neph1/bellman-7b-mistral-instruct-v0.2,7242,32,32768,False,False,2518,2.54,2.3,2.99,2.33,46.11,47.58,18.41,52.78,57.01,56.77,38.81,14.16,9.29,32.75,54.38,55.84,16.05,53.22
bineric/NorskGPT-Llama-7B-v0.1,6738,32,4096,False,False,5384,2.57,2.52,2.74,2.45,41.63,47.73,0.0,54.25,56.18,56.96,50.94,8.19,5.55,41.35,53.95,60.91,0.32,55.28
flax-community/swe-roberta-wiki-oscar,125,50,512,True,False,15437,2.57,2.79,3.16,1.77,55.98,36.66,22.69,24.81,79.25,75.39,36.56,22.02,19.72,0.78,75.4,76.22,65.73,29.34
sentence-transformers/stsb-xlm-r-multilingual,278,250,512,True,False,15040,2.57,2.57,2.88,2.26,58.52,42.26,34.8,19.6,80.08,74.59,52.16,36.3,14.21,0.0,68.94,72.77,40.21,20.09
danish-foundation-models/munin-7b-alpha,7242,32,32768,True,False,6116,2.58,2.37,3.24,2.14,40.6,36.89,26.41,57.81,48.89,51.95,20.54,4.39,1.2,47.16,42.23,78.8,15.47,56.75
distilbert/distilbert-base-multilingual-cased,135,120,512,True,False,26355,2.6,2.65,2.82,2.32,58.12,32.53,35.53,28.19,83.62,80.69,33.16,36.1,30.1,19.26,70.08,59.66,33.71,31.48
mistralai/Mistral-7B-Instruct-v0.1,7242,32,32768,False,False,5443,2.6,2.52,2.96,2.33,37.93,44.49,14.09,51.38,50.08,51.27,43.65,14.09,8.28,37.23,45.01,73.33,11.59,52.12
occiglot/occiglot-7b-eu5,7242,32,32768,True,False,2219,2.6,2.58,3.0,2.21,37.93,44.62,0.28,58.05,45.28,46.0,44.95,0.0,0.0,43.88,49.02,76.56,2.18,58.98
occiglot/occiglot-7b-eu5-instruct,7242,32,32768,False,False,2088,2.61,2.61,2.94,2.27,40.19,42.31,1.14,57.89,45.5,45.96,44.46,0.0,0.0,52.19,47.67,71.73,7.9,57.78
Geotrend/distilbert-base-25lang-cased,109,85,512,True,False,26099,2.62,2.65,2.84,2.38,58.44,31.81,34.13,27.6,83.59,80.29,33.19,32.6,24.97,19.93,70.56,60.69,30.83,31.41
Geotrend/distilbert-base-en-fr-de-no-da-cased,76,42,512,True,False,26081,2.62,2.65,2.84,2.38,58.78,31.3,34.92,27.86,83.49,80.23,32.66,33.65,29.07,19.29,69.94,59.83,29.82,31.13
Geotrend/distilbert-base-en-no-cased,69,33,512,True,False,26597,2.63,2.67,2.83,2.38,57.53,32.95,33.63,27.21,83.93,79.39,32.32,36.15,30.17,19.71,69.28,59.53,29.36,30.42
tollefj/nordavind-7b-instruct-warm,7248,33,2048,False,False,6450,2.63,2.5,3.1,2.3,38.39,49.44,7.5,51.24,38.82,43.28,38.05,8.45,7.5,40.47,47.24,77.91,5.55,51.41
Geotrend/distilbert-base-en-da-cased,69,33,512,True,False,26196,2.64,2.63,2.92,2.38,59.5,31.89,36.0,28.41,83.27,79.59,29.37,31.5,24.06,18.62,69.62,59.42,29.01,31.82
Twitter/twhin-bert-large,561,250,512,True,False,5299,2.65,2.61,3.08,2.27,66.39,39.36,7.06,33.88,86.26,80.1,34.17,12.11,4.28,11.74,74.26,63.35,16.07,36.77
Geotrend/distilbert-base-da-cased,61,23,512,True,False,28950,2.66,2.65,2.92,2.4,58.36,32.13,34.75,27.5,82.84,78.83,30.7,34.24,27.2,16.44,69.25,58.47,29.8,30.61
meta-llama/Llama-2-7b-hf,6738,32,4096,True,False,2648,2.66,2.67,3.12,2.19,31.77,43.91,0.31,58.44,42.13,43.8,41.74,0.0,0.02,44.19,44.11,79.05,7.34,57.49
merge-crew/da-sv-dare-ties-density-0.3 (val),7242,32,32768,True,True,2461,2.68,2.56,3.11,2.36,30.16,48.49,5.52,52.44,35.98,47.39,38.98,11.54,5.2,37.54,32.37,75.33,12.73,53.05
sarnikowski/convbert-medium-small-da-cased,24,29,512,True,False,13821,2.68,2.23,3.01,2.79,64.28,36.85,63.55,24.52,79.5,73.03,32.4,41.65,25.53,5.41,58.01,57.67,13.4,24.92
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,118,250,512,True,False,17428,2.72,2.66,3.02,2.48,56.75,44.48,26.74,17.89,78.31,72.13,47.53,26.92,14.63,0.0,66.5,72.19,28.75,15.91
Addedk/kbbert-distilled-cased,82,50,512,True,False,29698,2.73,2.99,3.3,1.9,57.84,31.18,13.25,22.73,81.82,75.89,33.42,14.99,13.63,0.0,80.12,71.28,51.58,28.16
meta-llama/Llama-2-7b-chat-hf,6738,32,4096,False,False,2643,2.73,2.53,3.16,2.5,35.44,44.88,9.74,55.04,44.99,49.09,41.56,3.04,4.03,33.77,39.72,66.18,6.74,54.05
timpal0l/Mistral-7B-v0.1-flashback-v2-instruct,7242,32,32768,False,False,5172,2.74,2.62,3.47,2.14,37.02,40.65,7.48,52.71,50.34,52.06,32.19,-0.22,0.0,20.57,46.74,77.06,14.0,56.74
jannikskytt/MeDa-Bert,111,32,511,True,False,16114,2.75,2.27,2.93,3.05,64.64,44.62,47.47,23.14,71.69,60.0,38.94,30.32,7.99,24.02,48.32,53.98,3.33,23.15
danish-foundation-models/encoder-medium-v1,111,32,512,True,False,16130,2.76,2.26,3.03,2.98,63.42,39.91,51.01,25.76,68.66,61.77,36.56,31.23,5.4,22.56,49.62,58.7,2.23,25.45
AI-Sweden-Models/gpt-sw3-20b,20918,64,2048,True,False,4880,2.79,2.94,3.1,2.33,27.41,30.24,11.34,52.8,30.82,39.56,34.51,15.17,12.46,42.81,31.86,78.88,12.26,53.58
Qwen/Qwen1.5-4B-Chat,3950,152,32768,False,False,4347,2.8,2.63,3.2,2.57,35.96,42.04,8.65,53.68,44.83,46.29,32.7,3.57,1.61,42.55,40.19,64.08,5.43,53.21
norallm/normistral-7b-warm,7248,33,2048,True,False,3175,2.8,2.69,3.32,2.38,37.8,40.51,3.35,49.08,42.29,46.29,27.05,1.63,2.57,39.18,48.78,76.09,2.53,48.93
DDSC/roberta-base-danish,125,50,512,True,False,15004,2.81,2.55,3.2,2.69,63.84,43.9,17.16,26.94,76.14,72.88,32.29,0.45,-0.08,23.91,65.95,64.02,0.8,28.46
Maltehb/danish-bert-botxo,111,32,512,True,False,16091,2.82,2.22,3.24,3.0,66.71,43.79,45.96,26.29,72.62,58.73,40.65,29.47,12.95,0.91,50.29,57.42,4.94,24.16
ltg/norbert3-xs,15,50,508,True,False,14208,2.82,2.89,2.77,2.8,59.94,39.16,2.16,24.69,87.63,80.19,49.92,7.93,5.06,22.46,67.53,59.27,2.83,24.11
birgermoell/roberta-swedish-scandi,125,50,512,True,False,15385,2.83,2.98,3.45,2.06,49.22,33.51,12.08,24.49,72.74,69.74,29.68,15.83,8.7,1.04,68.55,69.96,52.88,27.99
Addedk/mbert-swedish-distilled-cased,135,120,512,True,False,26091,2.86,2.96,3.16,2.47,56.36,31.16,21.08,19.63,82.98,76.65,30.38,21.99,19.06,9.47,73.41,62.1,34.86,18.1
sarnikowski/electra-small-discriminator-da-256-cased,13,29,512,True,False,20340,2.88,2.52,3.21,2.9,60.63,24.38,68.58,21.03,73.15,66.34,29.97,40.79,25.08,1.93,52.79,57.93,14.72,20.54
sarnikowski/convbert-small-da-cased,13,29,512,True,False,14273,2.89,2.54,3.16,2.96,60.59,29.52,57.1,20.16,76.07,70.94,32.49,35.43,21.11,1.84,55.06,53.7,12.38,22.53
01-ai/Yi-6B,6061,64,4096,True,False,2786,2.92,3.39,3.1,2.28,35.08,4.0,3.68,55.09,43.44,46.33,38.96,0.75,1.04,40.28,46.69,75.39,2.91,54.95
dbmdz/bert-base-historic-multilingual-cased,111,32,512,True,False,15165,2.98,3.24,3.33,2.38,47.61,24.17,8.14,25.19,68.63,67.7,25.68,6.73,3.35,22.57,68.83,64.25,28.62,28.78
AI-Sweden-Models/gpt-sw3-6.7b-v2,7111,64,2048,True,False,2351,2.99,3.28,3.19,2.49,20.84,18.07,10.54,51.22,29.62,32.3,34.67,8.37,7.76,44.62,28.73,77.47,8.78,50.57
