model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,suc3,swerec,scala_sv,scandiqa_sv
"AI-Sweden-Models/tyr (few-shot, val)",7242,32,32768,False,True,6079,2.02,56.21,78.3,14.35,61.08
"RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot, val)",7242,32,32768,False,True,3008,2.03,59.36,72.04,22.38,57.96
google-bert/bert-base-multilingual-uncased,167,106,512,True,False,13993,2.03,70.85,63.3,48.97,38.0
Mabeck/Heidrun-Mistral-7B-base (few-shot),7242,32,32768,True,False,3823,2.04,48.43,79.43,17.37,57.05
"mlabonne/NeuralBeagle14-7B (few-shot, val)",7242,32,8192,False,True,2549,2.04,61.25,76.03,16.28,50.96
danish-foundation-models/munin-7b-v0.1dev0 (few-shot),7242,32,8192,True,False,6113,2.05,47.1,73.05,30.29,57.39
"merge-crew/da-sv-dare-ties-density-0.6 (few-shot, val)",7242,32,32768,True,True,2515,2.05,45.12,78.74,19.74,60.15
Geotrend/bert-base-en-da-cased,111,33,512,True,False,14062,2.06,74.88,61.89,40.22,39.95
Geotrend/bert-base-en-fr-de-no-da-cased,118,42,512,True,False,13973,2.06,76.55,61.6,37.44,39.32
Geotrend/bert-base-en-no-cased,111,33,512,True,False,14081,2.06,75.33,61.8,36.62,39.95
birgermoell/roberta-swedish-scandi,125,50,512,True,False,15385,2.06,68.55,69.96,52.88,27.99
"merge-crew/da-sv-ties (few-shot, val)",7242,32,32768,True,True,2457,2.06,48.36,76.57,20.94,59.07
mhenrichsen/danskgpt-chat-v2.1 (few-shot),-1,32,32768,True,False,5085,2.06,54.37,75.98,17.98,55.07
"birgermoell/BeagleCatMunin-Flashback-Bellman (few-shot, val)",7242,32,32768,False,True,2890,2.07,52.96,76.99,14.27,59.92
Twitter/twhin-bert-base,279,250,512,True,False,11514,2.08,70.17,66.62,46.72,31.38
flax-community/nordic-roberta-wiki,125,50,512,True,False,16227,2.09,72.9,61.11,55.05,29.04
"timpal0l/BeagleCatMunin2 (few-shot, val)",7242,32,32768,False,True,2477,2.09,60.87,73.72,6.78,58.75
mistralai/Mistral-7B-v0.1 (few-shot),7242,32,32768,True,False,2657,2.1,53.34,80.0,4.61,58.99
Geotrend/bert-base-da-cased,104,23,512,True,False,15432,2.11,74.13,62.18,36.93,37.59
"birgermoell/Munin-NeuralBeagle-NorskGPT (few-shot, val)",7242,32,32768,False,True,2903,2.11,63.85,73.72,-0.56,60.1
"birgermoell/WestLake-Munin-Cat-NorskGPT (few-shot, val)",7242,32,32768,False,True,2856,2.11,63.85,73.72,-0.56,60.1
"KennethEnevoldsen/munin_mistral-7b (few-shot, val)",7242,32,32768,False,True,2543,2.12,52.34,77.66,6.0,60.16
ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit (few-shot),7242,32,32768,False,False,3006,2.12,44.64,77.98,16.57,57.31
alpindale/Mistral-7B-v0.2-hf (few-shot),7242,32,32768,True,False,1841,2.12,48.96,78.9,10.82,58.91
bineric/NorskGPT-Llama3-8b (few-shot),8030,128,8192,False,False,3695,2.13,63.19,76.06,5.34,56.7
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),8030,128,8192,True,False,4909,2.13,69.67,59.93,27.63,49.84
jonfd/electra-small-nordic,22,96,128,True,False,5989,2.15,71.07,66.42,69.19,11.85
mhenrichsen/hestenettetLM (few-shot),7242,32,32768,True,False,5160,2.16,53.0,79.7,4.32,59.03
danish-foundation-models/munin-7b-alpha (few-shot),7242,32,32768,True,False,6116,2.17,42.23,78.8,15.47,56.75
ltg/norbert3-small,41,50,508,True,False,13515,2.17,74.22,63.8,37.77,31.45
timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot),7242,32,32768,False,False,5172,2.18,46.74,77.06,14.0,56.74
vesteinn/DanskBERT,124,50,512,True,False,15749,2.19,72.33,67.77,33.79,32.71
jhu-clsp/bernice,278,250,128,True,False,5567,2.2,71.34,70.91,53.52,16.41
bineric/NorskGPT-Mistral-7b (few-shot),7242,32,32768,False,False,2443,2.21,58.4,74.3,0.0,59.16
senseable/WestLake-7B-v2 (few-shot),7242,32,32768,False,False,5993,2.21,58.9,67.74,16.52,49.41
DDSC/roberta-base-scandinavian,125,50,512,True,False,14491,2.22,58.84,72.28,37.61,30.59
RuterNorway/Llama-2-13b-chat-norwegian (few-shot),-1,32,4096,False,False,7778,2.22,50.85,74.17,7.51,57.32
microsoft/xlm-align-base,278,250,512,True,False,14744,2.22,78.6,73.67,15.41,32.41
meta-llama/Llama-2-7b-hf (few-shot),6738,32,4096,True,False,2648,2.23,44.11,79.05,7.34,57.49
occiglot/occiglot-7b-eu5 (few-shot),7242,32,32768,True,False,2219,2.24,49.02,76.56,2.18,58.98
sentence-transformers/stsb-xlm-r-multilingual,278,250,512,True,False,15040,2.24,68.94,72.77,40.21,20.09
sentence-transformers/paraphrase-xlm-r-multilingual-v1,278,250,512,True,False,20154,2.27,70.22,71.33,39.6,18.65
Twitter/twhin-bert-large,561,250,512,True,False,9707,2.29,74.26,63.35,16.07,36.77
microsoft/infoxlm-base,278,250,512,True,False,34735,2.29,79.43,71.48,7.26,33.72
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,278,250,512,True,False,15100,2.3,65.14,73.47,36.62,18.65
occiglot/occiglot-7b-eu5-instruct (few-shot),7242,32,32768,False,False,2088,2.31,47.67,71.73,7.9,57.78
clips/mfaq,278,250,128,True,False,5591,2.32,76.31,73.32,32.29,16.12
distilbert/distilbert-base-multilingual-cased,135,120,512,True,False,26355,2.32,70.08,59.66,33.71,31.48
01-ai/Yi-6B (few-shot),6061,64,4096,True,False,2786,2.34,46.69,75.39,2.91,54.95
"mlabonne/AlphaMonarch-7B (few-shot, val)",7242,32,8192,False,True,5340,2.34,60.53,67.03,15.1,42.46
tollefj/nordavind-7b-instruct-warm (few-shot),7248,33,2048,False,False,6450,2.34,47.24,77.91,5.55,51.41
neph1/bellman-7b-mistral-instruct-v0.2 (few-shot),7242,32,32768,False,False,2518,2.35,54.38,55.84,16.05,53.22
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),7242,32,32768,False,False,2538,2.36,47.92,62.9,19.95,52.51
Geotrend/distilbert-base-25lang-cased,109,85,512,True,False,26099,2.37,70.56,60.69,30.83,31.41
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),7242,32,32768,False,False,5443,2.37,45.01,73.33,11.59,52.12
AI-Sweden-Models/gpt-sw3-20b (few-shot),20918,64,2048,True,False,4880,2.38,31.86,78.88,12.26,53.58
Geotrend/distilbert-base-en-da-cased,69,33,512,True,False,26196,2.4,69.62,59.42,29.01,31.82
Geotrend/distilbert-base-en-fr-de-no-da-cased,76,42,512,True,False,26081,2.4,69.94,59.83,29.82,31.13
Geotrend/distilbert-base-en-no-cased,69,33,512,True,False,26597,2.4,69.28,59.53,29.36,30.42
dbmdz/bert-base-historic-multilingual-cased,111,32,512,True,False,20047,2.4,68.83,64.25,28.62,28.78
"merge-crew/da-sv-dare-ties-density-0.3 (few-shot, val)",7242,32,32768,True,True,2461,2.4,32.37,75.33,12.73,53.05
norallm/normistral-7b-warm (few-shot),7248,33,2048,True,False,3175,2.41,48.78,76.09,2.53,48.93
Geotrend/distilbert-base-da-cased,61,23,512,True,False,28950,2.42,69.25,58.47,29.8,30.61
Addedk/mbert-swedish-distilled-cased,135,120,512,True,False,26091,2.45,73.41,62.1,34.86,18.1
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),6738,32,4096,False,False,5384,2.49,53.95,60.91,0.32,55.28
mideind/IceBERT-xlmr-ic3,278,250,512,True,False,11004,2.49,70.57,66.01,10.2,30.71
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,118,250,512,True,False,17428,2.5,66.5,72.19,28.75,15.91
AI-Sweden-Models/gpt-sw3-6.7b-v2 (few-shot),7111,64,2048,True,False,2351,2.52,28.73,77.47,8.78,50.57
meta-llama/Llama-2-7b-chat-hf (few-shot),6738,32,4096,False,False,2643,2.53,39.72,66.18,6.74,54.05
norallm/normistral-7b-warm-instruct (few-shot),-1,33,2048,True,False,6194,2.53,51.45,63.64,5.8,48.95
dbmdz/bert-medium-historic-multilingual-cased,42,32,512,True,False,24291,2.55,66.11,59.66,26.28,24.36
Qwen/Qwen1.5-4B-Chat (few-shot),3950,152,32768,False,False,4347,2.6,40.19,64.08,5.43,53.21
"birgermoell/NeuralBeagle-Flashback (few-shot, val)",7242,32,32768,False,True,2904,2.6,51.73,36.06,19.42,59.26
HPLT/gpt-13b-nordic-prerelease (few-shot),14030,131,4099,True,False,3520,2.65,32.19,72.26,2.39,48.92
LumiOpen/Viking-13B (few-shot),14030,131,4099,True,False,3480,2.65,32.3,72.28,2.46,48.88
allenai/OLMo-7B (few-shot),6888,50,2051,True,False,5403,2.65,37.36,72.08,-0.86,45.16
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,135,120,512,True,False,26151,2.68,65.5,68.33,14.81,16.11
sentence-transformers/quora-distilbert-multilingual,135,120,512,True,False,26458,2.68,65.5,68.36,14.81,16.11
DDSC/roberta-base-danish,125,50,512,True,False,15004,2.7,65.95,64.02,0.8,28.46
google/gemma-2b (few-shot),2506,256,8192,True,False,6087,2.74,14.67,75.45,3.82,51.73
AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot),20918,64,2048,True,False,4572,2.76,15.7,68.23,12.39,52.04
sarnikowski/convbert-medium-small-da-cased,24,29,512,True,False,13821,2.79,58.01,57.67,13.4,24.92
ltg/norbert3-xs,15,50,508,True,False,14208,2.8,67.53,59.27,2.83,24.11
AI-Sweden-Models/gpt-sw3-1.3b-instruct (few-shot),1445,64,2048,True,False,4544,2.81,19.04,73.34,2.9,47.45
allenai/OLMo-7B-Twin-2T (few-shot),6888,50,2051,True,False,5484,2.82,20.49,70.04,2.28,45.85
KBLab/albert-base-swedish-cased-alpha,14,50,512,True,False,15925,2.86,47.19,56.57,20.92,23.86
HPLT/gpt-7b-nordic-prerelease (few-shot),7550,131,4096,True,False,5404,2.88,27.07,61.96,2.65,46.16
sarnikowski/electra-small-discriminator-da-256-cased,13,29,512,True,False,20340,2.91,52.79,57.93,14.72,20.54
LumiOpen/Viking-7B (few-shot),7550,131,4096,True,False,5723,2.93,21.84,63.6,0.65,46.51
google/gemma-7b-it (few-shot),8538,256,8192,False,False,1792,2.93,59.26,28.63,11.43,46.67
AI-Sweden-Models/gpt-sw3-1.3b (few-shot),1445,64,2048,True,False,4608,2.94,6.08,71.38,1.17,45.55
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot),7111,64,2048,True,False,2383,2.95,14.58,56.6,10.92,50.18
sarnikowski/convbert-small-da-cased,13,29,512,True,False,14273,2.96,55.06,53.7,12.38,22.53
danish-foundation-models/encoder-medium-v1,111,32,512,True,False,16130,2.99,49.62,58.7,2.23,25.45
EuropeanParliament/EUBERT,94,66,512,True,False,20070,3.0,38.36,59.0,19.4,19.23
Maltehb/danish-bert-botxo,111,32,512,True,False,16091,3.01,50.29,57.42,4.94,24.16
norallm/normistral-7b-scratch (few-shot),7248,33,2048,True,False,3192,3.01,13.79,71.59,-0.89,38.33
jannesg/bertsson,124,50,512,True,False,15314,3.04,51.13,61.67,2.87,17.24
AI-Sweden-Models/gpt-sw3-6.7b (few-shot),7111,64,2048,True,False,2285,3.06,18.83,53.68,3.49,49.81
jannikskytt/MeDa-Bert,111,32,511,True,False,16114,3.08,48.32,53.98,3.33,23.15
sentence-transformers/distiluse-base-multilingual-cased-v1,135,120,512,True,False,26344,3.09,49.86,60.06,3.18,16.08
Maltehb/aelaectra-danish-electra-small-cased,14,32,128,True,False,4593,3.12,57.82,55.68,19.26,0.0
sentence-transformers/distiluse-base-multilingual-cased-v2,135,120,512,True,False,17807,3.13,51.67,62.71,2.32,8.76
sentence-transformers/distiluse-base-multilingual-cased,135,120,512,True,False,19206,3.13,51.67,63.04,2.32,8.93
Qwen/Qwen1.5-1.8B-Chat (few-shot),1837,152,32768,False,False,8304,3.14,20.94,52.54,0.34,43.55
dbmdz/bert-mini-historic-multilingual-cased,12,32,512,True,False,47122,3.15,50.07,56.1,5.05,14.49
Qwen/Qwen1.5-1.8B (few-shot),1837,152,32768,True,False,5666,3.16,18.01,51.91,1.49,44.83
mhenrichsen/danskgpt-tiny-chat (few-shot),1100,32,2048,False,False,1745,3.16,27.31,45.94,-0.97,35.57
NbAiLab/nb-gpt-j-6B-alpaca (few-shot),6055,50,1024,False,False,2607,3.19,13.28,60.17,1.52,37.23
google/gemma-2b-it (few-shot),2506,256,8192,False,False,6471,3.19,33.51,43.97,0.53,39.39
jjzha/dajobbert-base-uncased,110,32,512,True,False,16243,3.24,42.99,55.49,4.69,14.22
AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot),471,64,2048,True,False,5855,3.26,14.84,59.0,0.06,34.37
Maltehb/aelaectra-danish-electra-small-uncased,14,32,128,True,False,5995,3.28,39.17,57.71,17.1,0.11
Qwen/Qwen1.5-4B (few-shot),3950,152,32768,True,False,3248,3.39,37.26,5.2,1.85,54.15
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),-1,32,4096,False,False,10890,3.39,22.38,31.11,0.09,44.36
AI-Sweden-Models/gpt-sw3-356m (few-shot),471,64,2048,True,False,5758,3.49,23.77,34.29,1.57,33.7
Qwen/Qwen1.5-0.5B-Chat (few-shot),620,152,32768,False,False,11740,3.49,18.57,40.23,0.21,29.49
3ebdola/Dialectal-Arabic-XLM-R-Base,278,250,512,True,False,15177,3.51,42.78,44.95,1.43,8.71
mhenrichsen/danskgpt-tiny (few-shot),1100,32,2048,True,False,8597,3.54,23.92,31.93,0.46,30.81
Qwen/Qwen1.5-0.5B (few-shot),620,152,32768,True,False,11371,3.57,28.96,26.58,-1.88,34.59
allenai/OLMo-1B (few-shot),1177,50,2051,True,False,8536,3.57,29.39,38.95,-1.35,17.85
dbmdz/bert-tiny-historic-multilingual-cased,5,32,512,True,False,78027,3.58,26.87,57.41,-1.06,5.54
RabotaRu/HRBert-mini,80,200,512,True,False,54951,3.7,24.61,52.31,1.32,2.86
alexanderfalk/danbert-small-cased,83,52,512,True,False,30013,3.7,22.47,53.88,1.55,1.12
fresh-electra-small,14,31,512,True,False,7561,3.84,10.54,55.54,-0.15,0.02
fresh-xlm-roberta-base,278,250,512,True,False,2214,3.85,11.91,51.11,0.86,2.0
AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot),186,64,2048,True,False,7717,4.06,23.05,12.47,0.08,20.43
NbAiLab/nb-gpt-j-6B-v2 (few-shot),6051,50,1024,False,False,2556,4.1,0.31,27.42,0.07,17.82
NbAiLab/nb-gpt-j-6B@sharded (few-shot),-1,50,1024,True,False,2630,4.18,0.01,33.5,-0.02,4.79
RJuro/kanelsnegl-v0.1 (few-shot),7242,32,512,True,False,9757,4.26,0.0,34.63,0.0,0.0
AI-Sweden-Models/gpt-sw3-126m (few-shot),186,64,2048,True,False,8958,4.31,5.66,8.15,-0.81,16.4
RJuro/kanelsnegl-v0.2 (few-shot),7242,32,512,True,False,1373,4.37,0.0,28.62,0.0,0.0
NorGLM/NorGPT-369M (few-shot),-1,64,1024,True,False,19896,4.59,1.47,5.5,-2.19,0.1
ai-forever/mGPT (few-shot),-1,100,1024,True,False,13551,4.65,0.0,0.0,0.49,6.24
peter-sk/gpt-neox-da (few-shot),1515,50,1024,True,False,6025,4.69,0.26,4.75,-0.6,0.06
Sigurdur/qa-icebreaker (few-shot),110,32,1024,False,False,44889,4.79,0.0,-0.1,0.0,0.0
Sigurdur/icebreaker (few-shot),110,32,1024,False,False,48619,4.84,0.0,-3.6,0.0,0.0
