model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,mim_gold_ner,hotter_and_colder_sentiment,scala_is,nqii,rrn,arc_is,winogrande_is
"claude-3-5-haiku-20241022 (zero-shot, val)",-1,-1,200000,True,False,277,3.95,34.99,31.19,-10.68,23.65,66.12,9.0,0.0
occiglot/occiglot-7b-eu5 (few-shot),7242,32,32768,True,False,2219,3.96,40.08,16.23,1.59,15.98,62.55,5.98,-0.51
ibm-granite/granite-3.0-8b-instruct (few-shot),8171,49,4096,True,False,1118,3.99,42.67,9.95,1.11,22.25,63.81,5.12,0.89
LumiOpen/Viking-7B (few-shot),7550,131,4096,True,False,1431,4.0,33.21,25.5,-0.08,25.76,56.52,0.81,-3.96
MaLA-LM/emma-500-llama2-7b (few-shot),6738,32,4096,True,False,6275,4.01,31.81,18.33,3.63,16.72,58.72,12.62,3.43
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),7242,32,32768,False,False,634,4.01,36.04,12.93,-0.36,18.06,62.8,5.44,6.35
utter-project/EuroLLM-9B-Instruct (few-shot),9152,128,4096,False,False,1483,4.01,24.92,9.76,0.15,28.18,64.67,11.1,0.89
ibm-granite/granite-8b-code-base-4k (few-shot),8055,49,4096,True,False,2313,4.02,50.89,9.52,0.5,17.43,59.94,5.52,1.73
01-ai/Yi-1.5-6B (few-shot),6061,64,4097,True,False,2867,4.04,38.15,5.32,0.98,20.39,61.23,7.59,3.44
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),7242,32,32768,True,False,5054,4.04,36.47,1.84,2.54,18.66,63.68,5.12,8.3
meta-llama/Llama-3.2-3B-Instruct (few-shot),3213,128,131073,False,False,10424,4.06,27.57,10.07,-1.39,22.98,62.0,13.33,0.74
ibm-granite/granite-3.0-8b-base (few-shot),8171,49,4096,True,False,2515,4.07,37.82,-0.29,-0.12,21.59,62.35,6.54,1.83
meta-llama/Llama-2-7b-chat-hf (few-shot),6738,32,4096,False,False,2643,4.07,41.1,13.59,-1.07,16.13,62.3,3.16,1.84
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),7242,32,32768,False,False,2370,4.07,34.8,17.64,5.46,12.66,61.79,2.88,-1.11
google/gemma-2-2b-it (few-shot),2614,256,8193,True,False,5374,4.08,14.79,15.24,1.1,25.42,62.67,10.76,-5.2
CohereForAI/aya-23-8B (few-shot),8028,256,8192,False,False,2707,4.11,47.16,0.33,3.84,21.75,59.16,3.7,-3.24
HPLT/gpt-7b-nordic-prerelease (few-shot),7550,131,4096,True,False,1382,4.13,29.67,26.31,-0.03,21.77,52.52,0.09,-0.74
microsoft/Phi-3-mini-128k-instruct (few-shot),3821,32,131072,True,False,7312,4.13,27.22,17.8,1.31,17.24,62.0,1.85,1.06
microsoft/Phi-3-mini-4k-instruct (few-shot),3821,32,4096,True,False,3194,4.14,33.05,14.42,0.71,17.23,60.08,2.67,2.74
neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot),8030,128,131072,True,False,2996,4.16,22.23,21.46,0.1,23.34,51.47,6.43,1.43
meta-llama/Llama-2-7b-hf (few-shot),6738,32,4096,True,False,930,4.17,32.71,13.24,0.66,18.04,60.73,3.65,-0.0
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),6738,32,4096,False,False,5384,4.18,34.62,12.72,-0.24,18.1,61.81,3.06,-1.9
norallm/normistral-7b-warm-instruct (few-shot),7248,33,4096,True,False,6194,4.18,36.59,11.75,0.86,14.58,61.99,1.48,-0.98
AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot),471,64,2048,True,False,5855,4.21,17.79,21.09,0.08,15.04,59.45,1.06,5.69
tollefj/nordavind-7b-instruct-warm (few-shot),7248,33,2048,False,False,6450,4.21,34.76,12.07,0.77,12.8,61.23,2.01,-0.76
google/gemma-2-2b (few-shot),2614,256,8193,True,False,5235,4.23,10.67,12.86,-0.21,20.22,59.97,10.08,1.16
meta-llama/Llama-3.2-1B-Instruct (few-shot),1236,128,131073,False,False,7436,4.23,33.76,6.91,-0.13,12.43,59.46,2.09,3.56
ibm-granite/granite-3.0-2b-instruct (few-shot),2634,49,4097,True,False,10194,4.25,30.21,5.88,3.67,15.12,56.75,3.22,1.88
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),1711,49,8192,True,False,15971,4.31,26.23,6.86,2.69,10.84,60.43,1.93,3.27
Qwen/Qwen1.5-4B-Chat (few-shot),3950,152,32768,False,False,4347,4.32,25.65,7.56,-0.35,14.46,62.11,4.5,-1.89
ibm-granite/granite-8b-code-instruct-4k (few-shot),8055,49,4096,True,False,5617,4.32,43.2,2.54,0.0,14.28,49.66,3.07,2.79
ibm-granite/granite-3b-code-base-2k (few-shot),3483,49,2048,True,False,2732,4.34,38.52,4.29,0.0,12.94,58.58,2.11,-4.75
openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot),7453,251,4096,False,False,1254,4.36,28.74,4.3,0.06,17.41,60.79,0.18,-1.64
google/gemma-2b (few-shot),2506,256,8192,True,False,6087,4.37,8.83,10.08,0.31,16.08,60.0,2.52,0.0
ibm-granite/granite-3.0-2b-base (few-shot),2534,49,4097,True,False,10187,4.37,29.51,1.7,-0.32,12.36,59.43,2.35,0.01
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3374,49,4096,True,False,10246,4.38,23.14,5.07,0.18,14.15,60.8,2.86,-1.31
AI-Sweden-Models/gpt-sw3-1.3b (few-shot),1445,64,2048,True,False,4608,4.39,1.42,4.18,0.75,23.33,64.23,0.4,0.68
openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot),7453,251,4096,True,False,1438,4.39,26.58,-0.79,0.63,15.14,60.84,1.17,-0.12
HuggingFaceTB/SmolLM2-1.7B (few-shot),1711,49,8192,True,False,16249,4.4,20.5,10.09,0.83,10.84,57.52,3.16,-1.83
Qwen/Qwen1.5-4B (few-shot),3950,152,32768,True,False,3248,4.48,15.66,9.17,-0.55,14.11,57.17,5.46,-1.71
google/gemma-2b-it (few-shot),2506,256,8192,False,False,6471,4.54,20.49,-0.75,-0.01,10.95,59.16,0.45,0.62
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3374,49,4096,True,False,10504,4.54,18.07,0.65,-0.72,12.27,56.49,0.32,1.0
meta-llama/Llama-3.2-1B (few-shot),1236,128,131073,True,False,7577,4.55,17.77,7.64,-0.35,8.15,54.21,0.71,2.88
timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot),7242,32,32768,False,False,5172,4.55,24.98,13.57,1.18,8.52,39.94,4.83,4.7
Qwen/Qwen1.5-1.8B-Chat (few-shot),1837,152,32768,False,False,8304,4.56,14.15,6.87,0.78,7.8,57.27,1.62,1.92
utter-project/EuroLLM-1.7B-Instruct (few-shot),1657,128,4096,True,False,15009,4.57,13.29,6.83,0.92,7.49,56.76,0.59,1.87
PleIAs/Pleias-1.2b-Preview (few-shot),1195,66,2048,True,False,10756,4.58,22.56,0.53,-0.26,11.77,53.36,0.36,0.24
PleIAs/Pleias-3b-Preview (few-shot),3212,66,4096,True,False,6513,4.58,18.86,-0.67,-0.76,8.09,60.61,-0.78,-0.84
ibm-granite/granite-3b-code-instruct-2k (few-shot),3483,49,2048,True,False,9059,4.58,33.57,0.6,0.0,11.27,49.32,1.37,-4.04
ibm-granite/granite-7b-instruct (few-shot),6738,32,4096,True,False,3136,4.6,19.07,-0.51,0.99,9.54,59.42,0.79,-3.2
PleIAs/Pleias-Nano (few-shot),1195,66,2048,True,False,2519,4.62,9.9,2.13,0.02,10.64,54.83,-0.56,1.21
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),1335,49,4096,True,False,7964,4.65,17.74,3.84,-1.13,7.74,58.6,-1.11,-4.23
Qwen/Qwen1.5-0.5B-Chat (few-shot),620,152,32768,False,False,11740,4.69,9.5,1.63,1.76,3.14,58.92,-1.28,1.48
HuggingFaceTB/SmolLM2-360M (few-shot),362,49,8192,True,False,22023,4.71,13.43,3.82,1.14,3.71,51.93,0.95,2.9
Qwen/Qwen1.5-0.5B (few-shot),620,152,32768,True,False,11371,4.72,16.2,0.1,-0.57,3.31,56.0,1.96,0.85
HuggingFaceTB/SmolLM2-135M (few-shot),135,49,8192,True,False,26346,4.73,14.74,3.13,-0.25,1.35,52.66,1.21,1.69
ibm-granite/granite-3.0-1b-a400m-base (few-shot),1385,49,4096,True,False,7808,4.73,5.62,4.82,-0.2,4.94,58.01,0.78,-2.14
PleIAs/Pleias-350m-Preview (few-shot),353,66,2048,True,False,10242,4.74,17.73,2.38,-0.18,1.59,52.81,0.89,-1.11
RJuro/kanelsnegl-v0.2 (few-shot),7242,32,512,True,False,1373,4.75,23.67,7.76,0.0,0.0,50.54,0.0,0.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),362,49,8192,True,False,21777,4.77,13.6,3.12,0.28,4.09,50.0,-0.11,2.51
Qwen/Qwen1.5-1.8B (few-shot),1837,152,32768,True,False,5666,4.79,12.26,-9.69,0.94,6.31,55.32,3.65,1.13
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),6738,32,4096,False,False,10890,4.82,9.48,3.32,0.07,1.04,55.16,-0.8,-0.16
state-spaces/mamba-2.8b-hf (few-shot),2768,50,32769,True,False,2722,4.82,18.38,-1.7,0.49,6.3,51.62,2.25,-6.17
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),135,49,8192,True,False,25602,4.85,13.7,3.01,-0.83,0.94,50.3,1.1,-0.07
PleIAs/Pleias-Pico (few-shot),353,66,2048,True,False,2331,4.93,13.8,2.17,-0.63,1.29,43.4,1.16,1.21
NorGLM/NorGPT-369M (few-shot),-1,64,2048,True,False,19896,5.06,1.68,2.78,-1.38,0.08,44.02,0.15,0.28
Sigurdur/icebreaker (few-shot),110,32,1024,False,False,48619,5.07,0.0,2.31,0.0,0.0,44.8,0.23,0.38
Sigurdur/icechat (few-shot),110,32,1024,False,False,49558,5.14,0.0,1.86,0.0,0.0,42.46,0.0,0.0
ssmits/Falcon2-5.5B-multilingual (few-shot),5465,65,8192,True,False,7692,5.25,0.0,-1.3,0.0,0.0,36.58,-0.0,0.0
ai-forever/mGPT (few-shot),-1,100,2048,True,False,11734,5.48,0.0,2.54,0.0,0.0,17.11,-0.02,0.47
Sigurdur/jonas-hallgrimsson-gpt2 (few-shot),125,51,512,False,False,32644,5.76,0.0,0.0,0.0,0.0,0.0,-0.26,-0.01
