model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,conll_en,sst5,scala_en,squad
mistralai/Mistral-7B-v0.1,7242,32,32768,True,False,2657,1.87,63.4,68.17,30.92,73.45
FacebookAI/xlm-roberta-large,559,250,512,True,False,6663,1.9,89.81,41.97,35.55,68.88
alpindale/Mistral-7B-v0.2-hf,7242,32,32768,True,False,1841,1.92,61.02,67.1,29.82,73.5
google-bert/bert-base-uncased,109,31,512,True,False,10296,1.93,87.62,54.01,56.97,42.37
robinsmits/Qwen1.5-7B-Dutch-Chat-Sft-Bf16,7719,152,32768,False,False,2413,1.98,67.52,63.1,37.75,64.88
VAGOsolutions/SauerkrautLM-7b-HerO (val),7242,32,32768,False,True,2477,1.99,69.26,68.63,29.87,60.92
occiglot/occiglot-7b-de-en-instruct,7242,32,32768,False,False,1584,1.99,60.9,66.54,23.6,75.14
01-ai/Yi-6B,6061,64,4096,True,False,2786,2.04,52.7,68.66,25.29,75.89
timpal0l/Mistral-7B-v0.1-flashback-v2,7242,32,32768,True,False,5054,2.04,59.1,68.41,25.43,71.89
occiglot/occiglot-7b-de-en,7242,32,32768,True,False,1992,2.05,56.07,65.29,25.78,73.13
mistralai/Mistral-7B-Instruct-v0.1,7242,32,32768,False,False,5443,2.07,57.58,61.44,34.92,65.38
RuterNorway/Llama-2-13b-chat-norwegian,-1,32,4096,False,False,7778,2.09,64.93,64.14,28.08,62.09
danish-foundation-models/munin-7b-v0.1dev0,7242,32,8192,True,False,6113,2.1,56.38,66.04,22.15,71.32
occiglot/occiglot-7b-eu5-instruct,7242,32,32768,False,False,2088,2.11,56.9,62.1,20.17,75.29
Qwen/Qwen1.5-4B-Chat,3950,152,32768,False,False,4347,2.14,58.56,59.62,28.55,70.04
Qwen/Qwen1.5-4B,3950,152,32768,True,False,3248,2.15,55.45,60.55,28.6,70.49
mlabonne/NeuralBeagle14-7B (val),7242,32,8192,False,True,2549,2.16,69.16,63.85,28.4,52.69
cstr/Spaetzle-v8-7b (val),7242,32,32768,False,True,5980,2.17,69.4,65.39,26.69,49.74
google-bert/bert-base-multilingual-cased,177,120,512,True,False,14083,2.17,89.32,41.89,38.34,55.19
meta-llama/Llama-2-7b-hf,6738,32,4096,True,False,2648,2.19,55.27,65.16,20.43,69.82
meta-llama/Llama-2-7b-chat-hf,6738,32,4096,False,False,2643,2.22,62.53,62.23,22.71,64.45
mistralai/Mistral-7B-Instruct-v0.2,7242,32,32768,False,False,2538,2.24,62.11,59.91,30.66,58.27
occiglot/occiglot-7b-eu5,7242,32,32768,True,False,2219,2.24,55.37,63.32,18.92,72.38
mlabonne/AlphaMonarch-7B (val),7242,32,8192,False,True,5340,2.28,69.19,63.77,28.43,44.39
distilbert/distilbert-base-cased,65,29,512,True,False,19667,2.31,84.75,50.94,53.47,24.93
microsoft/phi-2,2780,51,2048,True,False,3472,2.31,49.16,62.41,12.31,75.79
Rijgersberg/GEITje-7B,7242,32,32768,True,False,10401,2.35,53.39,65.21,12.63,65.74
AI-Sweden-Models/gpt-sw3-20b-instruct,20918,64,2048,True,False,4572,2.47,39.21,65.58,7.82,72.25
AI-Sweden-Models/gpt-sw3-20b,20918,64,2048,True,False,4880,2.5,45.86,62.08,6.62,65.29
Qwen/Qwen1.5-1.8B,1837,152,32768,True,False,5666,2.55,37.22,64.34,15.3,64.41
distilbert/distilbert-base-multilingual-cased,135,120,512,True,False,26355,2.62,87.7,36.48,40.79,29.0
Qwen/Qwen1.5-1.8B-Chat,1837,152,32768,False,False,8304,2.74,40.89,55.33,11.23,60.69
allenai/OLMo-7B,6888,50,2176,True,False,5403,2.78,38.23,60.7,-0.19,61.93
google/gemma-2b,2506,256,8192,True,False,6087,2.78,19.65,62.14,8.3,66.3
VAGOsolutions/SauerkrautLM-Gemma-2b,2506,256,8192,False,False,3607,2.81,23.28,61.91,6.92,64.68
allenai/OLMo-7B-Twin-2T,6888,50,2176,True,False,5484,2.87,25.36,56.91,7.1,58.6
google/gemma-2b-it,2506,256,8192,False,False,6471,2.88,40.05,48.83,5.83,63.77
LumiOpen/Viking-13B,14030,131,4224,True,False,3480,2.96,47.7,51.87,0.14,50.83
Qwen/Qwen1.5-0.5B-Chat,620,152,32768,False,False,11740,3.02,33.86,55.41,1.15,53.34
Qwen/Qwen1.5-0.5B,620,152,32768,True,False,11371,3.08,37.51,57.15,2.94,42.57
allenai/OLMo-1B,1177,50,2176,True,False,8536,3.1,26.47,60.05,0.72,43.87
RuterNorway/Llama-2-7b-chat-norwegian,-1,32,4096,False,False,10890,3.92,18.69,21.95,0.01,36.51
fresh-xlm-roberta-base,277,250,512,True,False,2214,4.53,34.64,4.0,1.33,0.43
fresh-electra-small,13,31,512,True,False,7561,4.6,30.77,0.58,-0.17,0.46
ai-forever/mGPT,-1,100,1024,True,False,13551,4.85,1.55,3.71,-0.42,5.58
RJuro/kanelsnegl-v0.1,7242,32,512,True,False,9757,4.98,0.0,0.0,0.41,0.0
