model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,conll_nl,dutch_social,scala_nl,squad_nl
"mlabonne/AlphaMonarch-7B (few-shot, val)",7242,32,8192,False,True,5340,2.75,64.71,11.14,25.22,46.34
mistralai/Mistral-7B-v0.1 (few-shot),7242,32,32768,True,False,2657,2.77,58.15,7.94,25.41,62.56
sentence-transformers/stsb-xlm-r-multilingual,278,250,512,True,False,15040,2.82,66.85,20.56,35.56,5.04
alpindale/Mistral-7B-v0.2-hf (few-shot),7242,32,32768,True,False,1841,2.83,56.76,7.11,23.55,61.89
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),7242,32,32768,False,False,634,2.84,55.56,12.37,21.5,50.77
Geotrend/distilbert-base-25lang-cased,108,85,512,True,False,26099,2.86,75.02,7.45,45.28,20.18
RuterNorway/Llama-2-13b-chat-norwegian (few-shot),-1,32,4096,False,False,3254,2.89,57.66,8.41,16.93,56.29
Rijgersberg/GEITje-7B-chat-v2 (few-shot),7242,32,32768,False,False,5908,2.91,42.12,11.06,19.71,59.19
google/gemma-7b (few-shot),8538,256,8192,True,False,1378,2.93,47.75,7.68,28.28,61.49
occiglot/occiglot-7b-eu5-instruct (few-shot),7242,32,32768,False,False,2088,2.94,53.78,7.78,16.23,63.09
BramVanroy/fietje-2b-chat (few-shot),2775,50,2048,False,False,4704,2.98,39.57,13.25,9.31,60.26
Rijgersberg/GEITje-7B-chat (few-shot),7242,32,32768,False,False,5920,2.98,50.69,8.16,20.45,54.48
Twitter/twhin-bert-base,278,250,512,True,False,11514,2.98,74.03,9.53,39.12,7.71
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),7242,32,32768,True,False,5054,3.0,54.56,8.43,10.99,55.91
BramVanroy/GEITje-7B-ultra (few-shot),7242,32,8192,False,False,2475,3.01,42.25,12.78,18.23,53.41
BramVanroy/fietje-2b-instruct (few-shot),2775,50,2048,False,False,4710,3.01,36.5,13.7,4.81,60.63
Qwen/Qwen1.5-4B-Chat (few-shot),3950,152,32768,False,False,4347,3.01,42.52,14.68,4.07,55.18
Twitter/twhin-bert-large,560,250,512,True,False,9707,3.01,77.35,6.55,18.25,28.37
google/gemma-7b-it (few-shot),8538,256,8317,False,False,1792,3.01,53.93,12.83,6.58,53.45
occiglot/occiglot-7b-eu5 (few-shot),7242,32,32768,True,False,2219,3.02,51.31,7.41,13.04,59.28
Rijgersberg/GEITje-7B (few-shot),7242,32,32768,True,False,5887,3.03,47.53,4.36,30.67,56.55
microsoft/Phi-3-mini-128k-instruct (few-shot),3821,32,131072,True,False,7312,3.04,44.27,12.84,10.44,56.4
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),7242,32,32768,False,False,634,3.05,52.72,7.91,18.14,52.75
meta-llama/Llama-2-7b-chat-hf (few-shot),6738,32,4096,False,False,2643,3.06,50.23,10.07,14.73,53.42
BramVanroy/fietje-2b (few-shot),2780,51,2048,True,False,4804,3.09,33.92,13.39,6.75,58.57
meta-llama/Llama-2-7b-hf (few-shot),6738,32,4096,True,False,930,3.09,40.49,7.1,18.66,59.92
EuropeanParliament/EUBERT,93,66,512,True,False,20070,3.1,49.54,14.86,27.9,20.65
AI-Sweden-Models/roberta-large-1350k,354,50,512,True,False,5744,3.17,73.03,3.65,2.0,42.85
01-ai/Yi-6B (few-shot),6061,64,4096,True,False,6435,3.22,46.34,8.96,0.88,55.33
AI-Sweden-Models/roberta-large-1160k,354,50,512,True,False,14014,3.22,70.92,3.5,2.06,41.4
BramVanroy/GEITje-7B-ultra-sft (few-shot),7242,32,8192,False,False,5979,3.23,39.41,7.0,16.1,53.02
sentence-transformers/distiluse-base-multilingual-cased-v1,135,120,512,True,False,34042,3.24,58.67,17.82,9.27,2.17
AI-Sweden-Models/gpt-sw3-20b (few-shot),20918,64,2048,True,False,1875,3.27,35.3,15.67,1.76,45.05
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,135,120,512,True,False,33753,3.27,65.04,17.4,-0.95,3.94
AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot),20918,64,2048,True,False,1831,3.28,24.44,18.4,4.85,39.83
Qwen/Qwen1.5-4B (few-shot),3950,152,32768,True,False,3248,3.33,35.74,12.55,0.23,51.3
google/gemma-2b-it (few-shot),2506,256,8192,False,False,6471,3.36,38.85,11.25,-2.27,45.95
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),-1,32,4096,False,False,10890,3.46,35.49,11.36,2.52,37.49
dbmdz/bert-base-historic-multilingual-cased,111,32,512,True,False,20047,3.47,56.69,9.29,3.02,22.14
sentence-transformers/distiluse-base-multilingual-cased,135,120,512,True,False,19206,3.48,56.98,9.66,19.37,3.11
jpostma/DagoBERT,116,40,512,True,False,11241,3.52,42.28,8.01,31.21,3.65
LumiOpen/Viking-13B (few-shot),14030,131,4224,True,False,3530,3.56,36.74,8.57,3.01,32.32
allenai/OLMo-7B (few-shot),6888,50,2176,True,False,5403,3.56,37.37,9.55,0.05,34.81
google/gemma-2b (few-shot),2506,256,8192,True,False,6087,3.66,16.9,9.95,0.41,49.15
Tweeties/tweety-7b-dutch-v24a (few-shot),7391,50,1024,True,False,2971,3.72,35.83,12.47,16.81,0.0
Qwen/Qwen1.5-1.8B-Chat (few-shot),1837,152,32768,False,False,8304,3.78,23.44,6.82,4.11,33.16
3ebdola/Dialectal-Arabic-XLM-R-Base,277,250,512,True,False,12783,3.83,44.46,8.39,2.07,4.3
dbmdz/bert-tiny-historic-multilingual-cased,5,32,512,True,False,78027,3.83,41.38,8.45,1.55,4.4
Qwen/Qwen1.5-0.5B-Chat (few-shot),620,152,32768,False,False,11740,3.9,18.66,8.59,0.34,26.74
sentence-transformers/distiluse-base-multilingual-cased-v2,135,120,512,True,False,33247,3.9,49.82,2.7,6.6,2.13
allenai/OLMo-7B-Twin-2T (few-shot),6888,50,2176,True,False,5484,3.93,18.7,3.7,2.19,38.08
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,118,250,512,True,False,29201,3.95,59.61,0.0,-0.04,3.28
Qwen/Qwen1.5-0.5B (few-shot),620,152,32768,True,False,11371,4.01,28.3,4.54,-0.42,20.81
Qwen/Qwen1.5-1.8B (few-shot),1837,152,32768,True,False,5666,4.02,11.66,5.2,2.89,34.6
allenai/OLMo-1B (few-shot),1177,50,2176,True,False,8536,4.26,22.58,4.92,-1.27,6.64
fresh-xlm-roberta-base,277,250,512,True,False,2214,4.54,13.09,0.92,1.93,0.26
fresh-electra-small,13,31,512,True,False,7840,4.57,11.66,0.0,-0.21,0.17
RJuro/kanelsnegl-v0.1 (few-shot),7242,32,512,True,False,5847,4.75,0.0,0.95,0.0,0.0
ai-forever/mGPT (few-shot),-1,100,1024,True,False,11734,4.8,0.11,-0.67,-0.97,0.29
