model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,conll_nl,dutch_social,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl
meta-llama/Llama-2-7b-hf,6738,32,4096,True,False,2648,3.33,40.49,7.1,18.66,59.92,62.58,17.36,6.68
Qwen/Qwen1.5-4B,3950,152,32768,True,False,3248,3.38,35.74,12.55,0.23,51.3,58.9,22.2,13.11
AI-Sweden-Models/gpt-sw3-20b,20918,64,2048,True,False,4880,3.56,35.3,15.67,1.76,45.05,59.15,6.24,0.47
AI-Sweden-Models/gpt-sw3-20b-instruct,20918,64,2048,True,False,4572,3.67,24.44,18.4,4.85,39.83,54.89,4.38,1.95
RuterNorway/Llama-2-7b-chat-norwegian,-1,32,4096,False,False,10890,3.68,35.49,11.36,2.52,37.49,62.24,5.41,0.15
google/gemma-2b-it,2506,256,8192,False,False,6471,3.69,38.85,11.25,-2.27,45.95,51.99,10.97,1.45
google/gemma-2b,2506,256,8192,True,False,6087,3.83,16.9,9.95,0.41,49.15,58.61,10.94,3.29
Qwen/Qwen1.5-1.8B-Chat,1837,152,32768,False,False,8304,3.9,23.44,6.82,4.11,33.16,60.91,12.11,6.41
LumiOpen/Viking-13B,14030,131,4224,True,False,3480,4.04,36.74,8.57,3.01,32.32,51.76,0.67,-0.3
Qwen/Qwen1.5-0.5B-Chat,620,152,32768,False,False,11740,4.07,18.66,8.59,0.34,26.74,62.36,2.09,1.44
Qwen/Qwen1.5-1.8B,1837,152,32768,True,False,5666,4.14,11.66,5.2,2.89,34.6,55.0,13.56,5.89
allenai/OLMo-7B,6888,50,2176,True,False,5403,4.14,37.37,9.55,0.05,34.81,45.22,3.92,0.16
Qwen/Qwen1.5-0.5B,620,152,32768,True,False,11371,4.25,28.3,4.54,-0.42,20.81,58.4,7.44,1.7
allenai/OLMo-7B-Twin-2T,6888,50,2176,True,False,5484,4.48,18.7,3.7,2.19,38.08,43.79,0.65,-0.02
allenai/OLMo-1B,1177,50,2176,True,False,8536,4.75,22.58,4.92,-1.27,6.64,43.43,-0.56,0.29
RJuro/kanelsnegl-v0.1,7242,32,512,True,False,9757,4.87,0.0,0.95,0.0,0.0,60.14,0.11,-0.13
ai-forever/mGPT,-1,100,1024,True,False,13551,5.38,0.11,-0.67,-0.97,0.29,30.2,1.45,-0.56
